area,Typeoflocation,time,Weather,typeofvehicle,ageofvehicle,natureofaccidents,causeofaccidents,accidentvictimsage,eduofdriver,accordingtoResponsibilitiesofDriver,speed,roadconditions,roadfeature,typeofjunction,typeoftrafficcontrol,OwnerofTypeofVehiclesandTypeofLicence,Gender,area
Teen Hath Naka,near a religious place,6am-9am,light rain,other motor vehicles,>10,skiding,defect in condition of motor vehicle,35-44years,9-10std,give improper signal,>70,speed breaker,3 Lanes or more without central Divider Median,manned rail crossing,uncontolled,others,female,Teen Hath Naka
Kapurbawdi,near or inside a village,3am-6am,light rain,3 wheeler,<1,head on collision,defect in road condition,21-24years,upto 8th std,passed on curve,50-70,rutted/pot holes,single lane,manned rail crossing,uncontolled,owner of private vehicle,male,Kapurbawdi
Teen Hath Naka,near office complex,12pm-3pm,heavy rain,"trucks ,tempos,tracto",8-10year,head on collision,poor light,18-20years,not known,give improper signal,50-70,muddy/oily/slippery,4 Lanes or more with central divider,unmanned rail crossing,stop sign,owner of public commercial vehicle,female,Teen Hath Naka
Vartak Nagar,open area,12am-3am,light rain,2 wheeler,<1,skiding,fault of pedestrian,10-14years,upto 8th std,failed to give signal,50-70,Surfaced Roads,3 Lanes or more without central Divider Median,unmanned rail crossing,traffic light signal,without licence,male,Vartak Nagar
Ghodbander,near a recreation place/cinema,6am-9am,light rain,3 wheeler,8-10year,head on collision,defect in condition of motor vehicle,65 and above,9-10std,alcohol intake,50-70,muddy/oily/slippery,4 Lanes or more with central divider,junction with >4 arms,traffic light signal,owner of private vehicle,female,Ghodbander
Ghodbander,in bazar,3am-6am,heavy rain,2 wheeler,>10,hit and run,weather condition,15-17years,upto 8th std,alcohol intake,50-70,road under construction/repair,two lane,four arm junction,police controlled,owner of public commercial vehicle,female,Ghodbander
Hiranandani Estate,near or inside a village,9am-12pm,cloudy,other motor vehicles,4-6year,rear end collision,neglect of civic bodies,65 and above,above 10th std,on wrong side of the road,30-50,Kutcha Roads,3 Lanes or more without central Divider Median,manned rail crossing,police controlled,regular licence,male,Hiranandani Estate
Majiwada,at pedestrian crossing,12pm-3pm,fine,"car/jeep/taxi,buses(4 wheeler)",1-2year,overturning,poor light,21-24years,9-10std,alcohol intake,<30,Wet road,single lane,round about junction,flashing signal/blinker,owner of public commercial vehicle,male,Majiwada
Manpada,near hospital,12pm-3pm,heavy rain,3 wheeler,8-10year,rear end collision,defect in condition of motor vehicle,45-54years,not known,give improper signal,30-50,Kutcha Roads,two lane,junction with >4 arms,uncontolled,learners licence,male,Manpada
Teen Hath Naka,near a factory or indu. Area,3am-6am,fine,"trucks ,tempos,tracto",1-2year,rear end collision,neglect of civic bodies,21-24years,upto 8th std,did not give right of way to vehicle,<30,Kutcha Roads,single lane,t junction,uncontolled,owner of private vehicle,male,Teen Hath Naka
Panchpakhadi,near petrol pump,3pm-6pm,cloudy,2 wheeler,>10,hit and run,defect in condition of motor vehicle,45-54years,above 10th std,failed to give signal,>70,muddy/oily/slippery,3 Lanes or more without central Divider Median,unmanned rail crossing,traffic light signal,owner of private vehicle,male,Panchpakhadi
Kolshet Road,near a recreation place/cinema,3am-6am,fine,other motor vehicles,6-8year,head on collision,fault of driver,15-17years,above 10th std,did not give right of way to vehicle,30-50,muddy/oily/slippery,4 Lanes or more with central divider,unmanned rail crossing,police controlled,without licence,male,Kolshet Road
Kapurbawdi,near hospital,3am-6am,fine,"car/jeep/taxi,buses(4 wheeler)",6-8year,overturning,poor light,15-17years,above 10th std,did not give right of way to pedestrian,>70,Surfaced Roads,single lane,unmanned rail crossing,flashing signal/blinker,regular licence,female,Kapurbawdi
Vasant Vihar,near a factory or indu. Area,12am-3am,light rain,"trucks ,tempos,tracto",4-6year,rear end collision,defect in road condition,15-17years,upto 8th std,failed to give signal,30-50,rutted/pot holes,4 Lanes or more with central divider,manned rail crossing,traffic light signal,regular licence,female,Vasant Vihar
Manpada,in bazar,6pm-9pm,cloudy,"car/jeep/taxi,buses(4 wheeler)",6-8year,collision brush/side swip,neglect of civic bodies,65 and above,9-10std,cut in sharply after passing,30-50,incline road,single lane,manned rail crossing,traffic light signal,regular licence,male,Manpada
Kapurbawdi,near a factory or indu. Area,12am-3am,heavy rain,"car/jeep/taxi,buses(4 wheeler)",8-10year,collision brush/side swip,defect in condition of motor vehicle,18-20years,above 10th std,followed too closely,50-70,Wet road,3 Lanes or more without central Divider Median,unmanned rail crossing,stop sign,learners licence,male,Kapurbawdi
Kolshet Road,near petrol pump,3pm-6pm,fine,3 wheeler,4-6year,overturning,defect in condition of motor vehicle,35-44years,above 10th std,excceding lawful speed,>70,Kutcha Roads,single lane,t junction,uncontolled,owner of public commercial vehicle,male,Kolshet Road
Teen Hath Naka,near petrol pump,9pm-12am,cloudy,3 wheeler,>10,skiding,defect in road condition,65 and above,not known,cut in sharply after passing,>70,road under construction/repair,4 Lanes or more with central divider,manned rail crossing,police controlled,owner of public commercial vehicle,female,Teen Hath Naka
Eastern Express Highway,near a factory or indu. Area,12pm-3pm,cloudy,other motor vehicles,2-4year,hit and run,weather condition,18-20years,upto 8th std,passed on curve,>70,Surfaced Roads,two lane,round about junction,police controlled,without licence,female,Eastern Express Highway
Kolshet Road,near bus stop,9am-12pm,heavy rain,2 wheeler,<1,head on collision,defect in road condition,25-34years,above 10th std,passed on curve,30-50,muddy/oily/slippery,3 Lanes or more without central Divider Median,four arm junction,stop sign,owner of private vehicle,male,Kolshet Road
Kapurbawdi,narrow bridge or culverts,12pm-3pm,light rain,3 wheeler,4-6year,hit and run,defect in road condition,<5years,9-10std,passed on curve,50-70,rutted/pot holes,3 Lanes or more without central Divider Median,round about junction,police controlled,owner of private vehicle,male,Kapurbawdi
Majiwada,at pedestrian crossing,9pm-12am,heavy rain,2 wheeler,2-4year,head on collision,poor light,65 and above,not known,excceding lawful speed,50-70,Surfaced Roads,3 Lanes or more without central Divider Median,unmanned rail crossing,stop sign,others,male,Majiwada
Teen Hath Naka,residential area,6am-9am,light rain,"trucks ,tempos,tracto",2-4year,skiding,fault of driver,<5years,9-10std,alcohol intake,30-50,straight road,two lane,four arm junction,traffic light signal,owner of public commercial vehicle,male,Teen Hath Naka
Talav Pali,at pedestrian crossing,9am-12pm,cloudy,3 wheeler,6-8year,right turn collision,defect in condition of motor vehicle,35-44years,9-10std,did not give right of way to pedestrian,>70,speed breaker,3 Lanes or more without central Divider Median,unmanned rail crossing,stop sign,owner of public commercial vehicle,male,Talav Pali
Hiranandani Estate,near a factory or indu. Area,12am-3am,cloudy,3 wheeler,>10,right turn collision,neglect of civic bodies,21-24years,above 10th std,excceding lawful speed,<30,rutted/pot holes,3 Lanes or more without central Divider Median,staggered jucntion,traffic light signal,without licence,female,Hiranandani Estate
Eastern Express Highway,narrow bridge or culverts,12pm-3pm,light rain,"car/jeep/taxi,buses(4 wheeler)",4-6year,skiding,neglect of civic bodies,18-20years,not known,passed on curve,<30,muddy/oily/slippery,single lane,four arm junction,flashing signal/blinker,owner of private vehicle,male,Eastern Express Highway
Kapurbawdi,near petrol pump,3am-6am,fine,3 wheeler,4-6year,overturning,defect in condition of motor vehicle,unknown age,upto 8th std,alcohol intake,<30,incline road,3 Lanes or more without central Divider Median,t junction,police controlled,owner of private vehicle,male,Kapurbawdi
Manpada,at pedestrian crossing,3am-6am,cloudy,"car/jeep/taxi,buses(4 wheeler)",2-4year,collision brush/side swip,neglect of civic bodies,45-54years,not known,other improper passsing,<30,rutted/pot holes,two lane,t junction,stop sign,paid driver,male,Manpada
Panchpakhadi,narrow bridge or culverts,3am-6am,light rain,other motor vehicles,8-10year,right turn collision,poor light,65 and above,upto 8th std,did not give right of way to pedestrian,50-70,rutted/pot holes,3 Lanes or more without central Divider Median,junction with >4 arms,police controlled,regular licence,male,Panchpakhadi
Talav Pali,narrow bridge or culverts,12am-3am,fine,3 wheeler,>10,rear end collision,neglect of civic bodies,10-14years,above 10th std,alcohol intake,>70,straight road,3 Lanes or more without central Divider Median,unmanned rail crossing,police controlled,learners licence,male,Talav Pali
Kapurbawdi,near hospital,12pm-3pm,fine,"trucks ,tempos,tracto",6-8year,hit and run,defect in road condition,45-54years,9-10std,alcohol intake,30-50,Wet road,single lane,unmanned rail crossing,stop sign,others,male,Kapurbawdi
Eastern Express Highway,residential area,3am-6am,heavy rain,2 wheeler,4-6year,rear end collision,fault of driver,65 and above,above 10th std,followed too closely,>70,rutted/pot holes,4 Lanes or more with central divider,manned rail crossing,uncontolled,paid driver,female,Eastern Express Highway
Talav Pali,near a recreation place/cinema,12pm-3pm,fine,3 wheeler,1-2year,head on collision,defect in road condition,<5years,upto 8th std,did not give right of way to vehicle,<30,Wet road,3 Lanes or more without central Divider Median,unmanned rail crossing,stop sign,regular licence,female,Talav Pali
Ghodbander,near office complex,9am-12pm,cloudy,"car/jeep/taxi,buses(4 wheeler)",8-10year,hit and run,defect in road condition,35-44years,upto 8th std,cut in sharply after passing,50-70,muddy/oily/slippery,4 Lanes or more with central divider,staggered jucntion,stop sign,owner of public commercial vehicle,male,Ghodbander
Kapurbawdi,in bazar,3pm-6pm,fine,"trucks ,tempos,tracto",8-10year,rear end collision,poor light,6-9years,above 10th std,on wrong side of the road,>70,Wet road,4 Lanes or more with central divider,v junction,flashing signal/blinker,without licence,male,Kapurbawdi
Talav Pali,near petrol pump,6am-9am,heavy rain,other motor vehicles,>10,right turn collision,defect in condition of motor vehicle,21-24years,9-10std,excceding lawful speed,<30,Surfaced Roads,3 Lanes or more without central Divider Median,v junction,traffic light signal,learners licence,male,Talav Pali
Eastern Express Highway,near or inside a village,9am-12pm,light rain,"car/jeep/taxi,buses(4 wheeler)",>10,head on collision,defect in road condition,55-64years,9-10std,followed too closely,<30,straight road,single lane,v junction,uncontolled,learners licence,male,Eastern Express Highway
Talav Pali,near bus stop,3pm-6pm,cloudy,3 wheeler,4-6year,overturning,defect in condition of motor vehicle,55-64years,upto 8th std,excceding lawful speed,30-50,incline road,two lane,junction with >4 arms,uncontolled,paid driver,female,Talav Pali
Hiranandani Estate,narrow bridge or culverts,12pm-3pm,heavy rain,"car/jeep/taxi,buses(4 wheeler)",<1,rear end collision,defect in road condition,15-17years,9-10std,passed on curve,30-50,Surfaced Roads,4 Lanes or more with central divider,four arm junction,traffic light signal,paid driver,female,Hiranandani Estate
Vartak Nagar,near office complex,9pm-12am,cloudy,other motor vehicles,8-10year,skiding,defect in road condition,unknown age,not known,followed too closely,30-50,incline road,3 Lanes or more without central Divider Median,junction with >4 arms,police controlled,owner of public commercial vehicle,female,Vartak Nagar
Dhokali,near a recreation place/cinema,9pm-12am,fine,other motor vehicles,2-4year,collision brush/side swip,weather condition,45-54years,upto 8th std,other improper passsing,<30,Wet road,3 Lanes or more without central Divider Median,four arm junction,uncontolled,others,female,Dhokali
Ghodbander,near a recreation place/cinema,12pm-3pm,cloudy,"car/jeep/taxi,buses(4 wheeler)",2-4year,hit and run,weather condition,6-9years,upto 8th std,cut in sharply after passing,50-70,speed breaker,4 Lanes or more with central divider,v junction,police controlled,regular licence,male,Ghodbander
Teen Hath Naka,near a recreation place/cinema,3am-6am,cloudy,2 wheeler,6-8year,collision brush/side swip,defect in road condition,55-64years,9-10std,excceding lawful speed,50-70,straight road,4 Lanes or more with central divider,t junction,uncontolled,without licence,male,Teen Hath Naka
Talav Pali,near office complex,6am-9am,fine,3 wheeler,>10,rear end collision,weather condition,<5years,upto 8th std,alcohol intake,>70,muddy/oily/slippery,4 Lanes or more with central divider,junction with >4 arms,uncontolled,without licence,male,Talav Pali
